City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,6.48,72,100,1.34,US,1675042085
1,san carlos de bariloche,-41.1456,-71.3082,21.86,40,20,10.29,AR,1675042086
2,hobart,-42.8794,147.3294,25.03,53,40,2.57,AU,1675041994
3,vaini,-21.2,-175.2,29.09,84,40,3.6,TO,1675042000
4,souillac,-20.5167,57.5167,23.21,94,20,1.54,MU,1675042055
5,rikitea,-23.1203,-134.9692,26.15,72,9,3.81,PF,1675041794
6,hilo,19.7297,-155.09,22.57,88,20,0.89,US,1675042020
7,cherskiy,68.75,161.3,-17.16,90,100,2.21,RU,1675042088
8,san cristobal,7.7669,-72.225,20.1,82,82,0.88,VE,1675042052
9,busselton,-33.65,115.3333,25.26,43,7,4.75,AU,1675041998
10,sorland,67.667,12.6934,2.92,70,100,12.09,NO,1675042089
11,constitucion,-35.3333,-72.4167,14.76,94,64,5.88,CL,1675042089
12,pevek,69.7008,170.3133,-13.31,89,100,1.5,RU,1675042070
13,bairiki,1.3292,172.9752,30.0,79,40,4.12,KI,1675042090
14,kapaa,22.0752,-159.319,24.99,58,75,11.32,US,1675042002
15,mataura,-46.1927,168.8643,24.04,48,100,2.17,NZ,1675041998
16,saint george,37.1041,-113.5841,11.33,34,0,3.09,US,1675042025
17,ribeira grande,38.5167,-28.7,12.65,86,49,3.13,PT,1675042091
18,merrill,45.1805,-89.6835,-16.47,60,0,2.57,US,1675042091
19,barrow,71.2906,-156.7887,-20.99,84,100,5.14,US,1675042092
20,chapais,49.7834,-74.8492,-26.12,99,97,0.74,CA,1675042093
21,hermanus,-34.4187,19.2345,18.22,71,86,9.08,ZA,1675042007
22,jining,35.405,116.5814,2.86,36,0,4.6,CN,1675042093
23,provideniya,64.3833,-173.3,-0.94,86,100,7.0,RU,1675042005
24,ushuaia,-54.8,-68.3,9.81,66,20,4.63,AR,1675041922
25,avarua,-21.2078,-159.775,24.03,94,100,3.6,CK,1675042017
26,snasa,64.2457,12.3778,0.67,98,100,4.23,NO,1675042094
27,alta floresta,-9.8756,-56.0861,21.25,98,45,1.23,BR,1675042095
28,brodokalmak,55.5748,62.082,-7.5,99,71,2.53,RU,1675042095
29,kapoeta,4.7717,33.5903,27.26,28,11,3.35,SS,1675041933
30,kirkwall,58.9848,-2.9587,5.03,75,20,12.35,GB,1675042096
31,harper,4.375,-7.7169,25.4,86,100,2.68,LR,1675042097
32,north myrtle beach,33.816,-78.68,14.5,91,100,1.54,US,1675041855
33,pekan,3.4836,103.3996,23.06,93,100,6.11,MY,1675042097
34,marsh harbour,26.5412,-77.0636,23.64,83,3,7.44,BS,1675042098
35,hamilton,39.1834,-84.5333,6.47,93,100,4.12,US,1675041328
36,dawson creek,55.7666,-120.2362,-6.2,53,100,4.63,CA,1675042099
37,jawhar,2.7809,45.5005,22.14,84,84,5.39,SO,1675042099
38,deming,32.2687,-107.7586,12.94,16,0,5.66,US,1675042100
39,kodiak,57.79,-152.4072,3.73,100,100,3.09,US,1675042042
40,caxito,-8.5785,13.6643,24.88,88,100,0.8,AO,1675042101
41,jamestown,42.097,-79.2353,0.57,97,100,4.63,US,1675041890
42,touros,-5.1989,-35.4608,26.57,71,12,6.29,BR,1675042102
43,grindavik,63.8424,-22.4338,-1.03,86,40,3.6,IS,1675042102
44,qaanaaq,77.484,-69.3632,-24.14,72,33,2.72,GL,1675042051
45,luderitz,-26.6481,15.1594,14.54,92,0,3.81,NA,1675042103
46,kidal,18.4411,1.4078,14.05,8,100,4.85,ML,1675042103
47,ust-koksa,50.2696,85.6108,-17.98,94,38,0.33,RU,1675042104
48,hithadhoo,-0.6,73.0833,27.3,74,100,4.1,MV,1675041996
49,bilma,18.6853,12.9164,20.52,13,27,3.9,NE,1675042105
50,yulara,-25.2406,130.9889,26.0,57,100,4.47,AU,1675042105
51,craigieburn,-37.6,144.95,20.74,70,75,6.17,AU,1675042106
52,yumen,40.2833,97.2,-7.52,34,0,4.51,CN,1675042106
53,punta arenas,-53.15,-70.9167,10.06,76,75,3.6,CL,1675041919
54,magistralnyy,56.1725,107.4458,-8.36,85,100,2.63,RU,1675042107
55,valle hermoso,25.6667,-97.8333,22.94,84,0,7.11,MX,1675042108
56,saskylakh,71.9167,114.0833,-41.28,99,63,2.12,RU,1675042056
57,faanui,-16.4833,-151.75,27.51,73,19,5.12,PF,1675042074
58,lompoc,34.6391,-120.4579,10.56,85,100,4.02,US,1675042063
59,bethanien,-26.502,17.1583,22.86,31,0,1.32,NA,1675042109
60,bluff,-46.6,168.3333,16.35,89,100,2.85,NZ,1675042048
61,mercedes,-34.6515,-59.4307,23.13,64,0,3.94,AR,1675042042
62,norman wells,65.282,-126.8329,-8.98,73,75,4.63,CA,1675042044
